time,open,high,low,close,tick_volume,spread,real_volume
2026-07-06 18:30:00,27.21,27.27,27.17,27.27,42,1,0
2026-07-06 18:45:00,27.28,27.29,27.24,27.28,31,1,0
2026-07-06 19:00:00,27.29,27.29,27.17,27.2,71,1,0
2026-07-06 19:15:00,27.19,27.25,27.16,27.18,52,1,0
2026-07-06 19:30:00,27.16,27.2,27.14,27.19,43,1,0
2026-07-06 19:45:00,27.21,27.35,27.17,27.33,93,1,0
2026-07-07 13:30:00,27.32,28.12,27.32,28.02,248,1,0
2026-07-07 13:45:00,28.03,28.11,27.88,27.96,186,1,0
2026-07-07 14:00:00,27.94,28.24,27.91,28.17,164,1,0
2026-07-07 14:15:00,28.15,28.38,28.12,28.16,209,1,0
2026-07-07 14:30:00,28.17,28.33,28.03,28.1,180,1,0
2026-07-07 14:45:00,28.11,28.23,28.04,28.2,155,1,0
2026-07-07 15:00:00,28.21,28.24,28.02,28.03,143,1,0
2026-07-07 15:15:00,28.04,28.04,27.88,27.9,114,1,0
2026-07-07 15:30:00,27.91,27.92,27.8,27.83,87,1,0
2026-07-07 15:45:00,27.84,27.85,27.74,27.75,60,1,0
2026-07-07 16:00:00,27.74,27.79,27.66,27.68,74,1,0
2026-07-07 16:15:00,27.69,27.74,27.67,27.68,45,1,0
2026-07-07 16:30:00,27.67,27.7,27.62,27.63,67,1,0
2026-07-07 16:45:00,27.62,27.65,27.56,27.65,47,1,0
2026-07-07 17:00:00,27.66,27.81,27.63,27.71,80,1,0
2026-07-07 17:15:00,27.7,27.71,27.61,27.64,87,1,0
2026-07-07 17:30:00,27.66,27.69,27.62,27.65,49,1,0
2026-07-07 17:45:00,27.64,27.67,27.63,27.65,32,1,0
2026-07-07 18:00:00,27.66,27.7,27.63,27.66,51,1,0
2026-07-07 18:15:00,27.66,27.68,27.62,27.64,54,1,0
2026-07-07 18:30:00,27.66,27.66,27.55,27.66,80,1,0
2026-07-07 18:45:00,27.65,27.99,27.64,27.92,167,1,0
2026-07-07 19:00:00,27.91,28.25,27.91,28.25,240,1,0
2026-07-07 19:15:00,28.26,28.63,28.23,28.52,244,1,0
2026-07-07 19:30:00,28.51,28.65,28.44,28.63,180,1,0
2026-07-07 19:45:00,28.64,28.69,28.52,28.63,185,1,0
2026-07-08 13:30:00,29.18,29.66,29.13,29.15,334,1,0
