time,open,high,low,close,tick_volume,spread,real_volume
2026-07-24 13:45:00,4052.09,4068.64,4048.63,4067.53,6953,15,0
2026-07-24 14:00:00,4067.53,4070.11,4057.28,4058.83,7084,15,0
2026-07-24 14:15:00,4058.91,4069.37,4055.92,4066.05,7272,15,0
2026-07-24 14:30:00,4066.25,4068.11,4059.29,4060.4,6693,15,0
2026-07-24 14:45:00,4060.53,4066.54,4058.57,4063.27,6677,15,0
2026-07-24 15:00:00,4063.27,4076.65,4061.82,4074.68,6787,15,0
2026-07-24 15:15:00,4074.53,4082.16,4071.92,4075.08,7194,15,0
2026-07-24 15:30:00,4075.15,4079.62,4071.76,4071.96,6341,15,0
2026-07-24 15:45:00,4072.12,4077.84,4070.99,4077.39,5374,15,0
2026-07-24 16:00:00,4077.4,4077.5,4074.48,4074.88,4037,15,0
2026-07-24 16:15:00,4074.88,4078.14,4073.56,4073.64,3716,15,0
2026-07-24 16:30:00,4073.74,4074.07,4066.62,4067.71,5167,15,0
2026-07-24 16:45:00,4067.7,4067.76,4064.15,4067.07,4132,15,0
2026-07-24 17:00:00,4067.13,4068.49,4063.06,4064.24,4556,15,0
2026-07-24 17:15:00,4064.24,4069.93,4063.67,4068.4,4183,15,0
2026-07-24 17:30:00,4068.16,4069.85,4066.12,4066.51,3044,15,0
2026-07-24 17:45:00,4066.51,4067.35,4063.02,4063.36,2985,15,0
2026-07-24 18:00:00,4063.36,4064.56,4061.3,4061.69,3252,15,0
2026-07-24 18:15:00,4061.69,4063.04,4054.97,4055.33,3943,15,0
2026-07-24 18:30:00,4055.54,4057.09,4051.11,4052.18,3986,15,0
2026-07-24 18:45:00,4052.18,4055.92,4051.83,4054.45,3290,15,0
2026-07-24 19:00:00,4054.51,4056.45,4052.22,4052.38,3698,15,0
2026-07-24 19:15:00,4052.38,4052.4,4049.22,4051.5,3601,15,0
2026-07-24 19:30:00,4051.51,4057.99,4051.26,4056.96,4305,15,0
2026-07-24 19:45:00,4056.96,4057.48,4052.79,4053.68,3717,15,0
2026-07-24 20:00:00,4053.5,4055.22,4052.21,4052.61,1008,15,0
2026-07-24 20:15:00,4052.62,4054.67,4052.03,4053.61,1120,15,0
2026-07-24 20:30:00,4053.6,4055.99,4051.58,4055.38,1199,15,0
2026-07-26 22:00:00,4088.39,4089.05,4086.26,4087.82,850,58,0
2026-07-26 22:15:00,4087.93,4090.0,4083.71,4086.24,2293,58,0
2026-07-26 22:30:00,4086.24,4092.86,4085.38,4091.02,2010,58,0
2026-07-26 22:45:00,4091.03,4093.5,4088.69,4089.18,1595,58,0
2026-07-26 23:00:00,4089.18,4091.27,4084.27,4084.62,1454,58,0
2026-07-26 23:15:00,4084.62,4086.14,4083.52,4084.64,2643,58,0
2026-07-26 23:30:00,4084.62,4089.29,4084.62,4089.02,2647,15,0
2026-07-26 23:45:00,4089.02,4096.41,4088.21,4094.12,5531,15,0
2026-07-27 00:00:00,4094.12,4116.28,4093.96,4115.6,6829,15,0
2026-07-27 00:15:00,4115.6,4115.62,4090.76,4094.57,6431,15,0
2026-07-27 00:30:00,4094.54,4102.52,4093.73,4099.86,5412,15,0
2026-07-27 00:45:00,4099.82,4109.36,4099.19,4100.85,5849,15,0
2026-07-27 01:00:00,4100.68,4112.65,4100.66,4107.06,7174,15,0
2026-07-27 01:15:00,4107.51,4109.17,4096.97,4100.05,6324,15,0
2026-07-27 01:30:00,4100.14,4104.38,4097.89,4102.74,6284,15,0
2026-07-27 01:45:00,4102.72,4110.19,4102.71,4110.19,5924,15,0
2026-07-27 02:00:00,4110.47,4110.99,4103.31,4105.5,5824,15,0
2026-07-27 02:15:00,4105.5,4105.86,4102.07,4103.14,4265,15,0
2026-07-27 02:30:00,4103.14,4103.14,4095.59,4096.52,5400,15,0
2026-07-27 02:45:00,4096.52,4097.69,4093.7,4093.7,4043,15,0
2026-07-27 03:00:00,4093.7,4095.94,4089.09,4091.98,4687,15,0
2026-07-27 03:15:00,4091.98,4093.6,4085.3,4085.58,4496,15,0
2026-07-27 03:30:00,4085.58,4090.88,4085.15,4089.8,4043,15,0
2026-07-27 03:45:00,4089.82,4091.29,4088.48,4090.99,2932,15,0
2026-07-27 04:00:00,4091.05,4092.85,4088.66,4090.12,3546,15,0
2026-07-27 04:15:00,4090.11,4090.55,4087.05,4089.08,3500,15,0
2026-07-27 04:30:00,4089.13,4092.46,4089.13,4090.52,3335,15,0
2026-07-27 04:45:00,4090.52,4091.34,4089.3,4090.35,2963,15,0
2026-07-27 05:00:00,4090.35,4094.85,4088.71,4094.77,3680,15,0
2026-07-27 05:15:00,4094.77,4094.77,4086.25,4086.98,3423,15,0
2026-07-27 05:30:00,4086.92,4090.37,4085.74,4088.12,5397,15,0
2026-07-27 05:45:00,4088.12,4093.65,4084.51,4093.11,5199,15,0
2026-07-27 06:00:00,4093.12,4096.46,4091.63,4094.33,5527,15,0
2026-07-27 06:15:00,4094.33,4096.58,4091.24,4096.15,4907,15,0
2026-07-27 06:30:00,4096.03,4099.32,4094.31,4098.63,4554,15,0
2026-07-27 06:45:00,4098.63,4099.12,4095.11,4095.94,4294,15,0
2026-07-27 07:00:00,4096.01,4102.11,4095.95,4102.08,5545,15,0
2026-07-27 07:15:00,4102.08,4106.11,4099.84,4103.15,5045,15,0
2026-07-27 07:30:00,4103.15,4103.74,4095.89,4097.26,4514,15,0
2026-07-27 07:45:00,4097.24,4099.15,4088.61,4088.84,4294,15,0
2026-07-27 08:00:00,4089.03,4093.19,4087.14,4091.34,5292,15,0
2026-07-27 08:15:00,4091.29,4092.57,4088.96,4090.89,4978,15,0
2026-07-27 08:30:00,4090.9,4092.98,4087.38,4091.46,4844,15,0
2026-07-27 08:45:00,4091.52,4096.94,4090.9,4095.2,4017,15,0
2026-07-27 09:00:00,4095.2,4098.42,4093.05,4093.97,3738,15,0
2026-07-27 09:15:00,4093.98,4095.89,4091.12,4091.51,3836,15,0
2026-07-27 09:30:00,4091.32,4094.72,4090.56,4094.22,4063,15,0
2026-07-27 09:45:00,4094.25,4100.42,4093.83,4096.23,3911,15,0
2026-07-27 10:00:00,4096.05,4096.48,4086.45,4090.86,4363,15,0
2026-07-27 10:15:00,4090.77,4093.96,4089.18,4093.14,4198,15,0
2026-07-27 10:30:00,4093.14,4101.91,4093.05,4100.3,3879,15,0
2026-07-27 10:45:00,4100.41,4102.32,4098.8,4099.54,3861,15,0
2026-07-27 11:00:00,4099.63,4104.15,4097.01,4101.98,4159,15,0
2026-07-27 11:15:00,4102.13,4103.36,4097.01,4097.01,3968,15,0
2026-07-27 11:30:00,4097.07,4100.01,4094.72,4095.66,5235,15,0
2026-07-27 11:45:00,4095.66,4097.27,4093.66,4093.95,4353,15,0
2026-07-27 12:00:00,4093.97,4097.68,4086.37,4087.69,5505,15,0
2026-07-27 12:15:00,4087.66,4089.05,4081.81,4086.72,5693,15,0
2026-07-27 12:30:00,4086.71,4088.69,4083.13,4086.72,4940,15,0
2026-07-27 12:45:00,4086.72,4089.13,4081.64,4083.79,5454,15,0
2026-07-27 13:00:00,4083.85,4088.94,4080.93,4085.03,6971,15,0
2026-07-27 13:15:00,4084.98,4087.26,4076.0,4076.02,6496,15,0
2026-07-27 13:30:00,4076.13,4089.14,4075.51,4086.78,8070,15,0
2026-07-27 13:45:00,4086.7,4089.54,4070.48,4074.22,7519,15,0
2026-07-27 14:00:00,4074.32,4079.21,4071.15,4077.05,7894,15,0
2026-07-27 14:15:00,4076.88,4078.63,4067.19,4068.34,7748,15,0
2026-07-27 14:30:00,4068.4,4070.72,4065.3,4068.77,7922,15,0
2026-07-27 14:45:00,4068.81,4077.37,4068.81,4076.22,6868,15,0
2026-07-27 15:00:00,4076.36,4076.53,4071.82,4075.97,6920,15,0
2026-07-27 15:15:00,4075.93,4079.38,4074.5,4076.44,6884,15,0
2026-07-27 15:30:00,4076.5,4078.02,4072.61,4076.15,6104,15,0
2026-07-27 15:45:00,4076.15,4079.9,4074.59,4078.45,6043,15,0
