2026-07-10 08:39:08,992 | INFO | MT5 connection successful
2026-07-10 08:39:08,992 | INFO | Symbol validated: XAUUSD
2026-07-10 08:39:08,994 | INFO | Downloaded 500 candles for XAUUSD
2026-07-10 08:39:08,996 | INFO | Market data validation successful
2026-07-10 08:39:09,013 | INFO | MT5 disconnected
2026-07-10 08:40:23,052 | INFO | MT5 connection successful
2026-07-10 08:40:23,053 | INFO | Symbol validated: XAUUSD
2026-07-10 08:40:23,054 | INFO | Downloaded 500 candles for XAUUSD
2026-07-10 08:40:23,056 | INFO | Market data validation successful
2026-07-10 08:40:23,073 | INFO | MT5 disconnected
2026-07-10 08:54:58,169 | INFO | MT5 connection successful
2026-07-10 08:54:58,169 | INFO | Symbol validated: XAUUSD
2026-07-10 08:54:58,171 | INFO | Downloaded 500 candles for XAUUSD
2026-07-10 08:54:58,173 | INFO | Market data validation successful
2026-07-10 08:54:58,178 | INFO | Market regime detected: RANGE
2026-07-10 08:54:58,191 | INFO | MT5 disconnected
2026-07-10 08:56:05,056 | INFO | MT5 connection successful
2026-07-10 08:56:05,056 | INFO | Symbol validated: XAUUSD
2026-07-10 08:56:05,058 | INFO | Downloaded 500 candles for XAUUSD
2026-07-10 08:56:05,059 | INFO | Market data validation successful
2026-07-10 08:56:05,064 | INFO | Market regime detected: RANGE
2026-07-10 08:56:05,077 | INFO | MT5 disconnected
2026-07-10 09:02:42,956 | INFO | MT5 connection successful
2026-07-10 09:02:42,957 | INFO | Symbol validated: XAUUSD
2026-07-10 09:02:42,959 | INFO | Downloaded 500 candles for XAUUSD
2026-07-10 09:02:42,960 | INFO | Market data validation successful
2026-07-10 09:02:42,966 | INFO | Market regime detected: RANGE
2026-07-10 09:02:42,966 | INFO | Market not suitable for trading
2026-07-10 09:02:42,978 | INFO | MT5 disconnected
2026-07-10 09:08:28,006 | INFO | MT5 connection successful
2026-07-10 09:08:28,006 | INFO | Symbol validated: XAUUSD
2026-07-10 09:08:28,008 | INFO | Downloaded 500 candles for XAUUSD
2026-07-10 09:08:28,010 | INFO | Market data validation successful
2026-07-10 09:08:28,015 | INFO | Market regime detected: RANGE
2026-07-10 09:08:28,015 | INFO | Market not suitable for trading
2026-07-10 09:08:28,028 | INFO | MT5 disconnected
2026-07-10 09:12:37,154 | INFO | MT5 connection successful
2026-07-10 09:12:37,155 | INFO | Symbol validated: XAUUSD
2026-07-10 09:12:37,156 | INFO | Downloaded 500 candles for XAUUSD
2026-07-10 09:12:37,158 | INFO | Market data validation successful
2026-07-10 09:12:37,164 | INFO | Market regime detected: RANGE
2026-07-10 09:12:37,165 | INFO | Market not suitable for trading
2026-07-10 09:12:37,256 | INFO | MT5 disconnected
2026-07-10 09:17:52,561 | INFO | MT5 connection successful
2026-07-10 09:17:52,561 | INFO | Symbol validated: XAUUSD
2026-07-10 09:17:52,563 | INFO | Downloaded 500 candles for XAUUSD
2026-07-10 09:17:52,564 | INFO | Market data validation successful
2026-07-10 09:17:52,570 | INFO | Market regime detected: RANGE
2026-07-10 09:17:52,570 | INFO | Market not suitable for trading
2026-07-10 09:17:52,582 | INFO | MT5 disconnected
2026-07-10 09:26:31,242 | INFO | Market data validation successful
2026-07-10 09:26:31,249 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,249 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,249 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4344.24), 'lot': np.float64(0.08), 'stop_loss': np.float64(4337.86), 'take_profit': np.float64(4357.0), 'risk_percent': 1}
2026-07-10 09:26:31,249 | INFO | ORDER OPENED {'ticket': 'JQE-000001', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4344.29), 'lot': np.float64(0.08), 'stop_loss': np.float64(4337.86), 'take_profit': np.float64(4357.0), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 249872), 'status': 'OPEN'}
